MaSV,tenSV,namsinh,diachi,sodienthoai,cmnd,kỳ một,kỳ hai,kỳ ba,kỳ bốn,Kỳ sau
32,Emma Müller,2002-01-26,"Đống Đa , Hà Nội",087234-3409,5.31692E+11,7,8,7,7,9
33,Ali Hassan,2004-10-25,"Đống Đa , Hà Nội",089860-8488,1.14678E+11,9,9,9,9,5
34,Johanna Weber,2003-09-14,"Đống Đa , Hà Nội",085244-0015,2.62446E+11,7,7,8,10,8
35,Matteo Ferrari,2001-11-25,"Đống Đa , Hà Nội",081215-9666,9.6027E+11,7,9,8,8,8
36,Maxime Dubois,2003-06-10,"Đống Đa , Hà Nội",086410-7586,1.07341E+11,5,6,8,9,7
37,Elisa Müller,2002-11-04,"Đống Đa , Hà Nội",088377-3680,8.35834E+11,10,6,8,8,10
38,Lucas Kim,2002-01-05,"Đống Đa , Hà Nội",087348-8079,3.39564E+11,6,5,8,5,7
39,Sofia Rodriguez,2002-10-02,"Đống Đa , Hà Nội",085020-2477,1.0413E+11,5,5,10,5,7
40,William Lee,2003-06-12,"Đống Đa , Hà Nội",084980-5049,5.73933E+11,5,8,8,9,7
41,Emma Johnson,2001-04-18,"Đống Đa , Hà Nội",089202-2169,4.97183E+11,9,7,10,8,5
42,Amir Kaur,2001-03-19,"Đống Đa , Hà Nội",082360-4172,8.65685E+11,10,5,5,9,10
43,Johanna Schmidt,2004-03-05,"Đống Đa , Hà Nội",086988-2271,3.77332E+11,9,9,9,9,6
44,Matteo Bianchi,2004-09-09,"Đống Đa , Hà Nội",084242-1350,7.41652E+11,10,7,10,10,5
45,Maria Hernandez,2001-01-26,"Bình Thạnh , TPHCM",085852-4583,8.15846E+11,8,10,8,5,7
46,Youssef Ali,2002-05-17,"Bình Thạnh , TPHCM",082010-2408,2.06919E+11,7,7,7,7,6
47,Anna Müller,2001-08-19,"Bình Thạnh , TPHCM",087382-2222,7.51038E+11,10,7,5,8,8
48,Miguel Rodriguez,2004-09-20,"Bình Thạnh , TPHCM",081226-2362,6.50517E+11,5,7,9,10,7
49,Emily Wilson,2001-09-12,"Bình Thạnh , TPHCM",088978-4539,4.01826E+11,5,7,5,6,8
50,Ahmed Hassan,2003-11-23,"Bình Thạnh , TPHCM",089388-8166,6.3017E+11,7,9,7,5,7
51,Sarah Kim,2000-12-30,"Bình Thạnh , TPHCM",084858-8849,5.65693E+11,9,5,7,8,9
52,Lukas Becker,2003-04-13,"Bình Thạnh , TPHCM",085739-9001,5.38387E+11,7,9,6,8,8
53,Sofia Lopez,2003-08-20,"Bình Thạnh , TPHCM",080443-8117,7.55359E+11,8,7,9,5,6
54,Alexander Müller,2003-10-15,"Bình Thạnh , TPHCM",083286-5959,4.98253E+11,5,5,9,8,10
55,Isabella Rossi,2001-12-13,"Bình Thạnh , TPHCM",087980-7429,3.83768E+11,10,10,10,9,9
56,Liam Brown,2002-05-02,"Bình Thạnh , TPHCM",083712-0203,4.33489E+11,9,7,9,10,6
57,Leila Ali,2004-05-17,"Bình Thạnh , TPHCM",080848-7439,3.75376E+11,6,9,8,8,5
58,Chiara Bianchi,2002-01-20,"Bình Thạnh , TPHCM",086544-4339,3.31501E+11,8,10,7,6,10
59,Ahmed Al-Sayed,2002-08-10,"Bình Thạnh , TPHCM",085611-4944,1.17317E+11,9,8,6,10,10
60,María Fernández,2004-04-14,"Bình Thạnh , TPHCM",088333-7917,1.82715E+11,8,5,5,8,8
61,Lucas Martin,2003-05-17,"Bình Thạnh , TPHCM",088066-7681,1.75673E+11,7,5,9,5,10
62,Sofia Garcia,2002-09-08,"Bình Thạnh , TPHCM",084394-5744,8.14747E+11,6,6,6,5,7
63,Emma Müller,2002-08-18,"Bình Thạnh , TPHCM",084225-6692,9.85865E+11,7,5,9,9,10
64,Ali Hassan,2001-10-04,"Bình Thạnh , TPHCM",083756-8728,9.26848E+11,7,8,6,9,10
65,Johanna Weber,2004-08-23,"Bình Thạnh , TPHCM",081694-6440,3.25692E+11,8,9,6,10,7
66,Matteo Ferrari,2004-10-13,"Bình Thạnh , TPHCM",083941-1096,3.55697E+11,10,8,8,9,5
67,Maxime Dubois,2003-02-16,"Bình Thạnh , TPHCM",084014-4893,7.41216E+11,10,8,7,9,6
68,Elisa Müller,2004-04-30,"Bình Thạnh , TPHCM",088181-6063,5.26726E+11,6,7,6,9,6
69,Lucas Kim,2001-05-14,"Bình Thạnh , TPHCM",084041-3038,4.58671E+11,9,7,5,8,8
70,Sofia Rodriguez,2003-10-21,"Bình Thạnh , TPHCM",084701-5292,3.70434E+11,5,5,10,8,9
71,William Lee,2004-04-08,"Bình Thạnh , TPHCM",089184-9706,1.79591E+11,6,6,6,7,9
72,Emma Johnson,2004-11-18,"Gò Vấp , TPHCM",085601-8257,6.07486E+11,6,9,9,6,10
73,Amir Kaur,2001-09-02,"Gò Vấp , TPHCM",080250-8180,8.41744E+11,9,8,6,5,7
74,Johanna Schmidt,2003-05-25,"Gò Vấp , TPHCM",089931-9864,9.09675E+11,10,6,10,9,9
75,Matteo Bianchi,2001-06-28,"Gò Vấp , TPHCM",087427-9471,2.34699E+11,8,6,10,10,9
76,Maria Hernandez,2004-05-11,"Gò Vấp , TPHCM",082388-5457,9.81233E+11,10,9,6,6,5
77,Youssef Ali,2002-01-06,"Gò Vấp , TPHCM",089906-2000,2.24223E+11,6,6,10,8,6
78,Anna Müller,2003-09-09,"Gò Vấp , TPHCM",088197-5072,6.47788E+11,6,7,5,5,6
79,Miguel Rodriguez,2001-06-09,"Gò Vấp , TPHCM",089914-0538,2.58998E+11,7,9,6,5,10
80,Emily Wilson,2003-05-13,"Gò Vấp , TPHCM",089012-3204,9.49738E+11,7,6,5,7,5
81,Ahmed Hassan,2003-01-02,"Gò Vấp , TPHCM",082431-0558,5.3894E+11,6,6,8,6,9
82,Sarah Kim,2001-01-31,"Gò Vấp , TPHCM",088808-5692,7.57128E+11,9,7,10,5,7
83,Lukas Becker,2003-04-21,"Gò Vấp , TPHCM",080680-8719,8.39904E+11,10,10,10,9,7
84,Sofia Lopez,2001-09-02,"Gò Vấp , TPHCM",087240-0962,6.58988E+11,6,7,9,5,7
85,Alexander Müller,2003-07-10,"Gò Vấp , TPHCM",082268-0002,9.69739E+11,8,5,6,8,5
86,Isabella Rossi,2004-03-12,"Gò Vấp , TPHCM",081474-3516,4.8297E+11,5,10,8,8,7
87,Liam Brown,2000-11-28,"Gò Vấp , TPHCM",080623-3025,9.40065E+11,6,8,5,7,10
88,Leila Ali,2002-08-31,"Gò Vấp , TPHCM",081619-1905,6.87036E+11,5,10,7,9,6
89,Chiara Bianchi,2003-04-25,"Gò Vấp , TPHCM",086674-9408,5.2877E+11,10,7,5,10,9
90,Ahmed Al-Sayed,2002-05-22,"Gò Vấp , TPHCM",084716-8359,8.51313E+11,8,6,9,5,9
91,María Fernández,2002-11-30,"Gò Vấp , TPHCM",086492-2150,6.53081E+11,8,5,5,10,5
92,Lucas Martin,2004-07-18,"Gò Vấp , TPHCM",089192-1761,9.14476E+11,5,6,6,5,5
93,Sofia Garcia,2004-03-30,"Gò Vấp , TPHCM",088729-7498,7.15615E+11,10,9,10,8,9
94,Emma Müller,2004-09-30,"Gò Vấp , TPHCM",081883-1267,4.65838E+11,9,10,10,6,10
95,Ali Hassan,2002-01-18,"Gò Vấp , TPHCM",088938-4842,8.80228E+11,7,6,10,5,5
96,Johanna Weber,2003-04-04,"Gò Vấp , TPHCM",087056-1263,4.87289E+11,5,10,6,10,5
97,Matteo Ferrari,2001-09-20,"Gò Vấp , TPHCM",084279-6363,1.542E+11,10,7,7,8,6
98,Maxime Dubois,2003-09-23,"Gò Vấp , TPHCM",082305-2658,7.43756E+11,9,7,8,7,10
99,Elisa Müller,2003-02-05,"Gò Vấp , TPHCM",086486-2632,6.08201E+11,6,7,5,6,7
100,Lucas Kim,2001-10-27,"Gò Vấp , TPHCM",082452-3471,5.78281E+11,6,8,10,6,6
101,Sofia Rodriguez,2002-10-30,"Gò Vấp , TPHCM",084780-8975,8.42847E+11,6,10,9,10,8
102,William Lee,2002-05-18,"Gò Vấp , TPHCM",082553-0536,9.66649E+11,6,8,10,10,10
103,Emma Johnson,2001-05-15,"Gò Vấp , TPHCM",080601-7216,1.50763E+11,7,8,8,8,6
104,Amir Kaur,2003-01-01,"Gò Vấp , TPHCM",085189-7398,4.52646E+11,8,6,9,8,7
105,Johanna Schmidt,2001-12-03,"Gò Vấp , TPHCM",086152-4541,5.30809E+11,5,8,7,8,7
106,Matteo Bianchi,2001-11-12,"Gò Vấp , TPHCM",088550-9268,5.39328E+11,6,8,10,7,10
107,Maria Hernandez,2004-02-15,"Gò Vấp , TPHCM",089670-4199,9.79735E+11,10,6,8,10,9
108,Youssef Ali,2003-07-17,"Gò Vấp , TPHCM",085318-4328,8.4844E+11,5,6,6,8,8
109,Anna Müller,2002-07-04,"Gò Vấp , TPHCM",087787-7451,1.75682E+11,8,8,5,10,9
110,Miguel Rodriguez,2001-03-28,"Gò Vấp , TPHCM",088504-8826,8.84018E+11,9,6,10,9,9
111,Emily Wilson,2002-02-14,"Gò Vấp , TPHCM",080016-9872,8.85278E+11,5,8,9,7,8
112,Ahmed Hassan,2003-08-06,"Gò Vấp , TPHCM",083916-9025,6.52932E+11,9,5,9,8,6
113,Sarah Kim,2003-02-05,"Gò Vấp , TPHCM",089425-7804,7.45091E+11,10,8,6,8,9
114,Lukas Becker,2004-10-31,"Gò Vấp , TPHCM",088376-2802,4.27502E+11,7,10,9,7,6
115,Sofia Lopez,2003-08-11,"Gò Vấp , TPHCM",082476-0677,2.83498E+11,5,9,5,7,6
116,Alexander Müller,2001-07-12,"Gò Vấp , TPHCM",085333-9646,1.69601E+11,10,5,7,9,6
117,Isabella Rossi,2002-12-10,"Gò Vấp , TPHCM",089600-9461,7.52552E+11,6,8,8,5,5
118,Liam Brown,2002-09-07,"Gò Vấp , TPHCM",088023-0818,8.16691E+11,5,6,9,9,10
119,Leila Ali,2004-05-18,"Gò Vấp , TPHCM",085788-2241,5.79969E+11,8,9,5,9,5
120,Chiara Bianchi,2002-11-19,"Gò Vấp , TPHCM",087605-2456,9.02217E+11,6,10,9,9,5
121,Ahmed Al-Sayed,2003-11-09,"Gò Vấp , TPHCM",081946-2136,1.69135E+11,5,8,5,6,5
122,María Fernández,2002-07-06,"Gò Vấp , TPHCM",086050-0737,8.74888E+11,8,7,9,7,8
123,Lucas Martin,2001-12-27,"Gò Vấp , TPHCM",085780-4504,4.48859E+11,6,8,9,7,8
124,Sofia Garcia,2004-11-28,"Gò Vấp , TPHCM",089528-8471,7.87562E+11,9,7,10,8,5
125,Maxime Dubois,2003-08-13,"Gò Vấp , TPHCM",082250-1873,4.81131E+11,10,9,10,5,5
126,Elisa Müller,2001-05-07,"Gò Vấp , TPHCM",084833-8512,2.0183E+11,7,7,5,6,9
127,Lucas Kim,2003-02-13,"Gò Vấp , TPHCM",089435-1333,7.28675E+11,6,7,9,9,7
128,Sofia Rodriguez,2002-03-03,"Gò Vấp , TPHCM",081111-5476,4.62585E+11,9,9,9,5,8
129,William Lee,2003-08-24,"Gò Vấp , TPHCM",088597-3272,8.5563E+11,10,8,10,10,5
130,Emma Johnson,2004-09-17,"Gò Vấp , TPHCM",082973-7527,8.3435E+11,10,5,8,6,5
131,Amir Kaur,2003-05-17,"Gò Vấp , TPHCM",083855-1049,4.74669E+11,5,10,7,8,5
132,Johanna Schmidt,2004-09-25,"Gò Vấp , TPHCM",085789-2359,1.40054E+11,6,9,7,9,5
133,Matteo Bianchi,2002-10-18,"Gò Vấp , TPHCM",080886-4923,4.61027E+11,5,6,8,6,9
134,Maria Hernandez,2004-01-01,"Gò Vấp , TPHCM",084266-6550,2.89942E+11,7,6,7,7,8
135,Youssef Ali,2002-11-08,"Gò Vấp , TPHCM",082733-7383,1.43582E+11,8,8,8,6,9
136,Anna Müller,2001-10-20,"Gò Vấp , TPHCM",082798-9860,1.91341E+11,7,8,10,7,7
137,Miguel Rodriguez,2001-02-07,"Gò Vấp , TPHCM",084779-2851,2.40666E+11,9,10,9,7,6
138,Emily Wilson,2003-08-25,"Gò Vấp , TPHCM",082331-7962,6.40207E+11,10,8,9,7,5
139,Ahmed Hassan,2004-10-10,"Gò Vấp , TPHCM",083997-6601,5.74086E+11,7,10,5,6,7
140,Sarah Kim,2002-09-05,"Gò Vấp , TPHCM",085913-2061,9.04733E+11,8,6,7,6,7
141,Lukas Becker,2003-01-31,"Gò Vấp , TPHCM",082528-5591,4.87882E+11,10,7,8,9,7
142,Sofia Lopez,2002-02-10,"Gò Vấp , TPHCM",086101-9807,6.19951E+11,7,6,10,7,5
143,Alexander Müller,2004-09-22,"Gò Vấp , TPHCM",082450-5364,4.86734E+11,7,6,5,8,10
144,Isabella Rossi,2001-01-11,"Gò Vấp , TPHCM",081498-8069,2.36808E+11,8,5,8,10,10
145,Liam Brown,2001-08-14,"Gò Vấp , TPHCM",082419-8638,1.65918E+11,6,6,5,5,5
146,Leila Ali,2001-05-11,"Gò Vấp , TPHCM",080437-1078,8.27725E+11,7,9,10,6,9
147,Chiara Bianchi,2003-06-29,"Gò Vấp , TPHCM",087404-9621,9.64454E+11,8,7,7,6,8
148,Ahmed Al-Sayed,2001-07-04,"Gò Vấp , TPHCM",082160-7134,8.46984E+11,6,8,10,8,10
149,María Fernández,2003-10-17,"Gò Vấp , TPHCM",083033-9357,6.61442E+11,8,9,7,7,10
150,Lucas Martin,2002-07-23,"Gò Vấp , TPHCM",084468-5787,9.33609E+11,5,8,10,7,7
151,Sofia Garcia,2001-09-10,"Gò Vấp , TPHCM",080418-0265,7.16539E+11,8,5,8,6,8
152,Emma Müller,2004-04-05,"Gò Vấp , TPHCM",089472-2139,7.15745E+11,7,6,7,10,7
153,Ali Hassan,2004-02-13,"Gò Vấp , TPHCM",081778-3584,8.8459E+11,10,7,5,8,6
154,Johanna Weber,2002-07-11,"Gò Vấp , TPHCM",086161-6139,8.3569E+11,6,8,5,6,7
155,Matteo Ferrari,2003-08-29,"Gò Vấp , TPHCM",086544-6332,3.72525E+11,5,10,9,10,7
156,Maxime Dubois,2004-10-11,"Gò Vấp , TPHCM",087719-1933,1.36012E+11,10,8,8,6,10
157,Elisa Müller,2002-06-22,"Gò Vấp , TPHCM",080543-6793,9.8833E+11,8,9,7,9,10
158,Lucas Kim,2003-09-01,"Gò Vấp , TPHCM",082770-0032,6.37054E+11,6,6,8,10,7
159,Sofia Rodriguez,2003-11-21,"Gò Vấp , TPHCM",081271-6145,6.62466E+11,7,9,7,7,6
160,William Lee,2004-04-07,"Gò Vấp , TPHCM",087709-8634,5.71791E+11,7,9,6,9,7
161,Emma Johnson,2001-11-19,"Gò Vấp , TPHCM",081603-0208,2.93716E+11,7,8,5,5,6
162,Amir Kaur,2001-06-19,"Gò Vấp , TPHCM",087473-6094,7.44526E+11,10,7,5,5,7
163,Johanna Schmidt,2001-11-24,"Gò Vấp , TPHCM",089218-5652,3.30955E+11,5,5,7,5,8
164,Matteo Bianchi,2001-12-31,"Gò Vấp , TPHCM",080766-1625,2.11593E+11,5,8,9,10,10
165,Maria Hernandez,2002-02-03,"Gò Vấp , TPHCM",087891-6310,7.14518E+11,7,9,7,6,10
166,Youssef Ali,2004-03-22,"Gò Vấp , TPHCM",083582-6697,4.7911E+11,7,7,5,7,5
167,Anna Müller,2003-08-13,"Gò Vấp , TPHCM",081302-3068,8.67766E+11,10,5,8,8,6
168,Miguel Rodriguez,2004-10-25,"Gò Vấp , TPHCM",088947-9423,8.76677E+11,6,5,5,6,8
169,Emily Wilson,2002-07-30,"Gò Vấp , TPHCM",085075-8565,5.76859E+11,6,10,6,5,9
170,Ahmed Hassan,2004-11-12,"Gò Vấp , TPHCM",088727-2641,5.86433E+11,6,5,6,7,10
171,Sarah Kim,2002-11-13,"Gò Vấp , TPHCM",087636-2892,5.33093E+11,9,8,6,7,10
172,Lukas Becker,2003-06-05,"Gò Vấp , TPHCM",085598-6296,4.65795E+11,9,8,6,9,5
173,Sofia Lopez,2003-04-15,"Gò Vấp , TPHCM",088259-4171,9.88242E+11,6,6,8,8,10
174,Alexander Müller,2003-08-16,"Gò Vấp , TPHCM",081772-9939,4.48285E+11,8,8,8,8,6
175,Isabella Rossi,2004-09-21,"Gò Vấp , TPHCM",088842-9433,6.76391E+11,6,9,10,7,8
176,Liam Brown,2001-10-12,"Gò Vấp , TPHCM",080204-8713,5.24629E+11,10,5,6,6,9
177,Leila Ali,2002-08-25,"Gò Vấp , TPHCM",080987-1012,7.02522E+11,7,10,5,8,10
178,Chiara Bianchi,2004-02-18,"Gò Vấp , TPHCM",083015-2146,4.99317E+11,10,8,10,10,5
179,Ahmed Al-Sayed,2001-04-23,"Gò Vấp , TPHCM",082991-2489,7.4773E+11,8,8,9,9,6
180,María Fernández,2002-04-10,"Gò Vấp , TPHCM",087538-3138,2.84678E+11,5,7,9,6,6
181,Lucas Martin,2001-09-23,"Gò Vấp , TPHCM",087352-0820,6.53264E+11,7,9,6,7,5
182,Sofia Garcia,2001-07-08,"Gò Vấp , TPHCM",080352-7862,8.06758E+11,8,5,10,6,6
183,Emma Müller,2004-09-21,"Gò Vấp , TPHCM",087983-2380,3.34934E+11,7,10,9,8,9
184,Ali Hassan,2004-09-02,"Gò Vấp , TPHCM",086770-6334,6.94568E+11,10,9,9,10,9
185,Johanna Weber,2001-08-27,"Gò Vấp , TPHCM",080125-4854,4.4949E+11,9,5,7,9,8
186,Matteo Ferrari,2002-02-17,"Gò Vấp , TPHCM",088933-3883,2.92282E+11,7,5,6,5,10
187,Maxime Dubois,2003-06-20,"Gò Vấp , TPHCM",084840-1771,9.40057E+11,7,7,8,5,10
188,Elisa Müller,2004-11-10,"Gò Vấp , TPHCM",084350-4883,4.19348E+11,10,8,9,6,8
189,Lucas Kim,2001-08-04,"Gò Vấp , TPHCM",080185-2112,3.83096E+11,7,7,5,9,8
190,Sofia Rodriguez,2002-07-26,"Gò Vấp , TPHCM",085010-7745,2.04835E+11,8,7,9,9,10
191,William Lee,2002-01-28,"Gò Vấp , TPHCM",085578-4787,6.17576E+11,5,9,7,10,10
192,Emma Johnson,2001-10-01,"Gò Vấp , TPHCM",089853-8882,2.00185E+11,5,7,7,8,9
193,Amir Kaur,2002-12-19,"Gò Vấp , TPHCM",087469-0478,8.47446E+11,7,5,5,10,6
194,Johanna Schmidt,2000-12-11,"Gò Vấp , TPHCM",082418-1126,8.34325E+11,8,7,8,6,6
195,Matteo Bianchi,2001-01-05,"Gò Vấp , TPHCM",080608-4433,1.07859E+11,8,7,9,9,8
196,Maria Hernandez,2003-01-24,"Gò Vấp , TPHCM",083961-3176,2.07501E+11,5,7,8,6,6
197,Youssef Ali,2002-03-26,"Gò Vấp , TPHCM",087667-2881,3.55063E+11,9,6,7,10,6
198,Anna Müller,2004-06-01,"Gò Vấp , TPHCM",085549-9883,7.49995E+11,5,10,5,10,10
199,Miguel Rodriguez,2001-03-12,"Gò Vấp , TPHCM",084029-6482,6.59693E+11,9,7,8,9,5
200,Emily Wilson,2004-03-31,"Gò Vấp , TPHCM",080967-4511,2.06807E+11,8,10,8,6,9
201,Ahmed Hassan,2002-03-19,"Gò Vấp , TPHCM",081348-7905,8.60021E+11,7,8,7,10,5
202,Sarah Kim,2002-09-05,"Gò Vấp , TPHCM",082432-8096,5.43668E+11,6,8,7,8,5
203,Lukas Becker,2004-06-24,"Gò Vấp , TPHCM",082125-1908,4.7774E+11,7,10,10,7,8
204,Sofia Lopez,2002-03-01,"Gò Vấp , TPHCM",080838-2604,7.93329E+11,9,9,5,9,5
205,Alexander Müller,2002-08-19,"Gò Vấp , TPHCM",089239-3245,9.24496E+11,6,7,9,7,9
206,Isabella Rossi,2002-06-19,"Gò Vấp , TPHCM",089303-4077,1.4773E+11,10,10,6,7,6
207,Liam Brown,2001-07-05,"Gò Vấp , TPHCM",089690-9067,2.49837E+11,10,9,8,7,5
208,Leila Ali,2002-03-04,"Gò Vấp , TPHCM",081126-3044,7.45607E+11,5,6,7,6,9
209,Chiara Bianchi,2002-03-28,"Gò Vấp , TPHCM",089182-3875,5.79506E+11,9,7,7,5,8
210,Ahmed Al-Sayed,2002-09-21,"Gò Vấp , TPHCM",089471-1894,5.76442E+11,10,9,10,7,8
211,María Fernández,2000-11-15,"Gò Vấp , TPHCM",086204-2112,3.34103E+11,8,6,7,10,10
212,Lucas Martin,2004-04-13,"Gò Vấp , TPHCM",084514-9168,4.47896E+11,7,8,10,8,8
213,Sofia Garcia,2002-07-31,"Gò Vấp , TPHCM",083859-7134,8.27735E+11,10,7,8,9,9
214,Emma Müller,2001-01-30,"Gò Vấp , TPHCM",085124-3481,8.40037E+11,8,5,6,6,6
215,Ali Hassan,2001-03-15,"Gò Vấp , TPHCM",083127-8124,4.58592E+11,8,7,9,10,6
216,Johanna Weber,2002-03-23,"Gò Vấp , TPHCM",083465-9164,5.01502E+11,7,5,5,7,6
217,Matteo Ferrari,2001-04-16,"Gò Vấp , TPHCM",081480-6683,2.73E+11,7,6,7,7,6
218,Maxime Dubois,2001-03-21,"Gò Vấp , TPHCM",084823-1958,7.49899E+11,9,5,5,7,9
219,Elisa Müller,2002-09-16,"Gò Vấp , TPHCM",082046-1251,2.95913E+11,7,7,10,9,9
220,Lucas Kim,2004-09-16,"Gò Vấp , TPHCM",081663-8403,4.96856E+11,8,8,7,8,5
221,Sofia Rodriguez,2004-05-18,"Gò Vấp , TPHCM",085789-3787,4.25487E+11,9,9,5,9,5
222,William Lee,2003-10-19,"Gò Vấp , TPHCM",082458-0481,2.32219E+11,6,5,8,5,8
223,Emma Johnson,2001-12-18,"Gò Vấp , TPHCM",081741-9456,3.42592E+11,7,6,6,8,6
224,Amir Kaur,2003-05-18,"Gò Vấp , TPHCM",089554-5991,4.30144E+11,7,10,7,9,9
225,Johanna Schmidt,2002-03-09,"Gò Vấp , TPHCM",085229-0814,3.4698E+11,9,9,6,6,10
226,Matteo Bianchi,2002-01-25,"Gò Vấp , TPHCM",085071-5599,9.19971E+11,8,6,7,10,8
227,Maria Hernandez,2002-10-07,"Gò Vấp , TPHCM",085546-4589,1.95916E+11,9,10,8,7,6
228,Youssef Ali,2002-02-09,"Gò Vấp , TPHCM",080161-6623,7.85191E+11,8,10,8,7,7
229,Anna Müller,2001-07-09,"Gò Vấp , TPHCM",083553-2140,8.52713E+11,5,8,8,8,8
230,Miguel Rodriguez,2001-07-23,"Gò Vấp , TPHCM",080951-5317,5.62648E+11,6,7,10,8,10
231,Emily Wilson,2003-09-28,"Gò Vấp , TPHCM",089328-3986,4.17224E+11,7,6,10,6,10
232,Ahmed Hassan,2002-07-08,"Gò Vấp , TPHCM",086924-6529,3.56863E+11,8,8,10,10,7
233,Sarah Kim,2003-08-05,"Gò Vấp , TPHCM",088120-1529,7.1784E+11,8,10,5,7,8
234,Lukas Becker,2003-12-12,"Gò Vấp , TPHCM",086210-8220,1.57289E+11,5,6,9,10,5
235,Sofia Lopez,2003-11-11,"Gò Vấp , TPHCM",083247-7522,5.65785E+11,10,10,9,8,6
236,Alexander Müller,2001-01-22,"Gò Vấp , TPHCM",088556-0872,8.72715E+11,10,5,8,10,9
237,Isabella Rossi,2001-11-19,"Gò Vấp , TPHCM",086528-3373,4.37224E+11,10,10,7,7,8
238,Liam Brown,2003-06-30,"Gò Vấp , TPHCM",081164-6686,1.62735E+11,5,8,9,9,9
239,Leila Ali,2002-09-14,"Gò Vấp , TPHCM",087881-6307,1.67596E+11,9,9,8,6,7
240,Chiara Bianchi,2002-04-06,"Gò Vấp , TPHCM",088716-9267,4.13194E+11,6,10,8,10,6
241,Ahmed Al-Sayed,2001-07-21,"Gò Vấp , TPHCM",083581-0489,6.05488E+11,5,10,8,5,8
242,María Fernández,2003-12-24,"Gò Vấp , TPHCM",088038-0531,6.16976E+11,9,7,8,5,10
243,Lucas Martin,2001-12-25,"Gò Vấp , TPHCM",083492-8733,3.96473E+11,8,10,6,10,10
244,Sofia Garcia,2004-01-01,"Gò Vấp , TPHCM",080412-1261,5.89977E+11,7,9,8,10,9
245,Emma Müller,2001-07-09,"Gò Vấp , TPHCM",082768-9661,9.77849E+11,8,8,5,10,7
